sentence,Sentiments,Bayes
"Vivo's sales price intervention order aims to protect consumers, prevent monopoly, create healthy market competition, support targeted subsidies",Positif,Positif
"Efforts to control consumer prices close standing orders, upper limit formulas for which prices are based on market benchmarks, mops supports targeted subsidies",Positif,Positif
"need to understand wisely, less energy subsidies and appropriate prices only for the strong, APBN design is more oriented towards protecting the economically weak, supports targeted subsidies",Positif,Positif
"steps according to subsidies are very appropriate, correction of subsidy channels then old prices are not on target, support subsidies are on target",Negatif,Positif
Fixed base price formula referring to global market petroleum prices supports targeted subsidies,Positif,Positif
be wise to shift subsidies to more productive sectors on target according to bbmaku prices one vote chief bin budi gunawan supports targeted subsidies,Positif,Positif
"Regarding the wise order to transfer the social assistance subsidy to increase according to the price, Mr. Budi Gunawan can support subsidies on target",Positif,Positif
"China is weird, people are shouting to support Ahok by increasing prices, but instead you are protesting, Pinangki will give you a gift",Positif,Positif
"This regime is not evil, apart from increasing prices, the regime closes loopholes, people can get cheap Vivo gas stations",Positif,Positif
Ruhut said Kadrun demonstrators refused to increase prices,Positif,Positif
"Do you really agree with Chief Bin Budi Gunawan regarding the transfer of social assistance subsidies to increase according to fuel prices? We have to think rationally, guys. Support subsidies on target.",Positif,Positif
"World oil prices are rising naturally, so prices are going up now, world oil prices are going down, why are they going up? Vivo, foreign businesses subsidize APBN, sell cheaper",Netral,Netral
pks faction walks out plenary session refuses to increase prices as usual nothing special at all what's great pks people demonstrate don't want to buy dare,Positif,Positif
"according to the transfer price, the subsidy must sell strongly. The APBN design, said Budi Gunawan, supports targeted subsidies",Positif,Positif
"Sir, wake up, sir, there are lots of demonstrations because the prices have gone up, you already know",Netral,Negatif
Subsidies have benefited people in remote areas and remote villages who have enjoyed subsidized prices,Positif,Positif
"Rejecting the price might favor subsidies, sometimes I keep thinking about it",Negatif,Negatif
central government targeted subsidy support according to sector transfer subsidy prices,Positif,Positif
"appropriate price for the APBN's strong design, protection orientation for the economically weak, Budi Gunawan bin supporting targeted subsidies",Positif,Positif
Targeted subsidy support orders need to protect economic citizens under the impact of rising prices,Positif,Positif
"less subsidies, more productive sector allocation stage, the best way, basic price determination, global market petroleum price reference formula, support, targeted subsidies",Positif,Positif
"lack of strong subsidies, APBN design, weak community protection orientation, policy, lack of energy subsidies according to price, part of strengthening APBN, supports targeted subsidies",Positif,Positif
need to understand wisely less energy subsidies according to price only for the strong APBN design is more oriented towards protecting economically weak communities supports targeted subsidies,Positif,Positif
The increase in subsidy prices must be a momentum for implementing reforms in the Indonesian energy industry to support targeted subsidies,Positif,Positif
"Prices increase, supply of alert subsidies is right on target. Support, subsidies are right on target",Positif,Positif
"That's right, Mr. Budi Gunawan. I can ask you about the price of subsidy transfer, the more productive sector supports targeted subsidies",Positif,Positif
Even underpants can't pretend to support price increases,Negatif,Positif
"update order asking to anticipate the effects of rising contractor prices, be careful like passing",Positif,Positif
PKS is desperately fighting for prices to cancel the Bobo party increase,Negatif,Positif
Prices increase. DKI DPRD proposes free public transportation in the capital for months,Positif,Positif
"Go up, choose bitter, logical, realistic, rather than Indonesia going bankrupt, a form of fertile land, anti-NKRI orders, fixed prices",Negatif,Negatif
"News HMI's action in Jakarta branch refused to increase prices, said channel coordinator",Positif,Positif
price increases add value to society,Positif,Positif
"Cadres are free to take part in the demonstration against Democratic prices, no need for Nang",Positif,Positif
May the representatives of the people be moved to lower the price,Negatif,Negatif
"Get ready, ladies and gentlemen, the impact of rising prices of basic necessities is creeping up",Positif,Netral
